Kode,Emiten,Sektor,Tahun_IPO,Saham_Beredar,Papan_Pencatatan,A,B,D,E,F,I,K,L,M,S,X,Total_Notasi,Keuangan,Administrasi,Hukum,Sanksi,Struktur_Saham,Pemantauan_Khusus
BBKP,Bank KB Bukopin Tbk.,Financials,2006,185819884852.0,Utama,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
GAMA,Aksara Global Development Tbk.,Properties & Real Estate,2012,10011027656.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
TRAM,Trada Alam Minera Tbk.,Energy,2008,49643627934.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
POLY,Asia Pacific Fibers Tbk,Consumer Cyclicals,1991,2495753334.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
SMCB,Solusi Bangun Indonesia Tbk.,Basic Materials,1977,9019381973.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
NETV,Net Visi Media Tbk.,Consumer Cyclicals,2022,23453177240.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
GLOB,Globe Kita Terang Tbk.,Consumer Cyclicals,2012,1111112000.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
YPAS,Yanaprima Hastapersada Tbk,Basic Materials,2008,668000089.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
PRAS,Prima Alloy Steel Universal Tb,Consumer Cyclicals,1990,701043478.0,Pemantauan Khusus,0,1,0,0,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
JGLE,Graha Andrasentra Propertindo ,Consumer Cyclicals,2016,22581909405.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
NIPS,Nipress Tbk.,Consumer Cyclicals,1991,1635333332.0,Pemantauan Khusus,0,1,0,0,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
MRAT,Mustika Ratu Tbk.,Consumer Non-Cyclicals,1995,428000000.0,Utama,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
JAWA,Jaya Agra Wattie Tbk.,Consumer Non-Cyclicals,2011,16232951842.0,Utama,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
CINT,Chitose Internasional Tbk.,Consumer Cyclicals,2014,1000000000.0,Pengembangan,0,0,0,0,1,0,0,0,0,0,0,1,Tidak,Tidak,Tidak,Ya,Tidak,Tidak
HDIT,Hensel Davest Indonesia Tbk.,Technology,2019,1524680000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
WINR,Winner Nusantara Jaya Tbk.,Properties & Real Estate,2022,5235283825.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
DEFI,Danasupra Erapacific Tbk.,Financials,2001,687266666.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
POLU,Golden Flower Tbk.,Consumer Cyclicals,2019,750000000.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
LMSH,Lionmesh Prima Tbk.,Basic Materials,1990,96000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
TAMA,Lancartama Sejati Tbk.,Infrastructures,2020,1200000696.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
ADES,Akasha Wira International Tbk.,Consumer Non-Cyclicals,1994,589896800.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
PURA,Putra Rajawali Kencana Tbk.,Transportation & Logistic,2020,6301930902.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
KRAH,Grand Kartech Tbk.,Industrials,2013,971190000.0,Pemantauan Khusus,0,1,0,0,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
FASW,Fajar Surya Wisesa Tbk.,Basic Materials,1994,2477888787.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
KPAL,Steadfast Marine Tbk.,Industrials,2018,1069009400.0,Pemantauan Khusus,0,1,0,0,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
PLAS,Polaris Investama Tbk,Financials,2001,1184200000.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
GIAA,Garuda Indonesia (Persero) Tbk,Transportation & Logistic,2011,91480783837.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
KBAG,Karya Bersama Anugerah Tbk.,Properties & Real Estate,2020,7150002603.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
OASA,Maharaksa Biru Energi Tbk.,Infrastructures,2016,6347220000.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
LMAS,Limas Indonesia Makmur Tbk,Technology,2001,787851525.0,Pemantauan Khusus,0,0,1,1,0,0,0,1,0,0,1,4,Ya,Ya,Tidak,Tidak,Tidak,Ya
HADE,Himalaya Energi Perkasa Tbk.,Infrastructures,2004,2120000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
CNTX,Century Textile Industry Tbk.,Consumer Cyclicals,1979,70000000.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
TECH,Indosterling Technomedia Tbk.,Technology,2020,1256300000.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
GMTD,Gowa Makassar Tourism Developm,Properties & Real Estate,2000,1015380000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
TDPM,Tridomain Performance Material,Basic Materials,2018,10485050500.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
BEKS,Bank Pembangunan Daerah Banten,Financials,2001,51351733883.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
MINA,Sanurhasta Mitra Tbk.,Consumer Cyclicals,2017,6562500000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
IFSH,Ifishdeco Tbk.,Basic Materials,2019,2125000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
ICON,Island Concepts Indonesia Tbk.,Industrials,2005,1089750000.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
SDMU,Sidomulyo Selaras Tbk.,Transportation & Logistic,2011,1135225000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
KOTA,DMS Propertindo Tbk.,Consumer Cyclicals,2019,10546185701.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
FORZ,Forza Land Indonesia Tbk.,Properties & Real Estate,2017,1984009887.0,Pemantauan Khusus,0,1,0,0,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
TRJA,Transkon Jaya Tbk.,Transportation & Logistic,2020,1510200000.0,Utama,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
BIPI,Astrindo Nusantara Infrastrukt,Energy,2010,63710196917.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
GDST,Gunawan Dianjaya Steel Tbk.,Basic Materials,2009,9242500000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
PURE,Trinitan Metals and Minerals T,Basic Materials,2019,1375181505.0,Pemantauan Khusus,1,0,0,0,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
PADI,Minna Padi Investama Sekuritas,Financials,2012,11307246524.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
ETWA,Eterindo Wahanatama Tbk,Basic Materials,1997,4668671400.0,Pemantauan Khusus,0,1,0,1,0,0,0,1,0,0,1,4,Ya,Ya,Tidak,Tidak,Tidak,Ya
KDSI,Kedawung Setia Industrial Tbk.,Basic Materials,1996,405000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
BAUT,Mitra Angkasa Sejahtera Tbk.,Consumer Cyclicals,2022,4800135289.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
KIOS,Kioson Komersial Indonesia Tbk,Technology,2017,1075862550.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
TRIO,Trikomsel Oke Tbk.,Consumer Cyclicals,2009,26007494645.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
HOTL,Saraswati Griya Lestari Tbk.,Consumer Cyclicals,2013,3550001452.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,1,0,1,3,Tidak,Ya,Tidak,Tidak,Tidak,Ya
MFMI,Multifiling Mitra Indonesia Tb,Industrials,2010,757581000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
YULE,Yulie Sekuritas Indonesia Tbk.,Financials,2004,1785000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
TIFA,KDB Tifa Finance Tbk.,Financials,2011,3552213000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
MPIX,Mitra Pedagang Indonesia Tbk.,Technology,2024,1562500000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
JSKY,Sky Energy Indonesia Tbk.,Energy,2018,2032540000.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,1,0,1,3,Tidak,Ya,Tidak,Tidak,Tidak,Ya
KAYU,Darmi Bersaudara Tbk.,Basic Materials,2019,665000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,1,0,1,3,Tidak,Ya,Tidak,Tidak,Tidak,Ya
GDYR,Goodyear Indonesia Tbk.,Consumer Cyclicals,1980,410000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
PTDU,Djasa Ubersakti Tbk.,Infrastructures,2020,1500000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
YELO,Yelooo Integra Datanet Tbk.,Consumer Cyclicals,2018,1912774405.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
CANI,Capitol Nusantara Indonesia Tb,Energy,2014,833440000.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
HRME,Menteng Heritage Realty Tbk.,Consumer Cyclicals,2019,5958750000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
ZBRA,Dosni Roha Indonesia Tbk.,Industrials,1991,2510706263.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
AKKU,Anugerah Kagum Karya Utama Tbk,Consumer Cyclicals,2004,6449463636.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
BELI,Global Digital Niaga Tbk.,Technology,2022,123210496616.0,Ekonomi Baru,0,0,0,0,0,1,0,0,0,0,0,1,Tidak,Tidak,Tidak,Tidak,Ya,Tidak
KRAS,Krakatau Steel (Persero) Tbk.,Basic Materials,2010,19346396900.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
SURE,Super Energy Tbk.,Energy,2018,1497576771.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
MDIA,Intermedia Capital Tbk.,Consumer Cyclicals,2014,39215538400.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,1,0,1,3,Tidak,Ya,Tidak,Tidak,Tidak,Ya
IBST,Inti Bangun Sejahtera Tbk.,Infrastructures,2012,1350904927.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
CNKO,Exploitasi Energi Indonesia Tb,Energy,2001,8956361206.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
LAPD,Leyand International Tbk.,Infrastructures,2001,3966350139.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
INPP,Indonesian Paradise Property T,Properties & Real Estate,2004,11181971732.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
IBOS,Indo Boga Sukses Tbk.,Consumer Non-Cyclicals,2022,8045476749.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
TGRA,Terregra Asia Energy Tbk.,Infrastructures,2017,2750000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,1,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
HOME,Hotel Mandarine Regency Tbk.,Consumer Cyclicals,2008,22212194782.0,Pemantauan Khusus,1,0,0,0,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
TFCO,Tifico Fiber Indonesia Tbk.,Consumer Cyclicals,1980,4823076400.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
VIVA,Visi Media Asia Tbk.,Consumer Cyclicals,2011,16464270400.0,Pemantauan Khusus,0,0,0,1,0,0,0,1,1,0,1,4,Ya,Ya,Tidak,Tidak,Tidak,Ya
BSBK,Wulandari Bangun Laksana Tbk.,Properties & Real Estate,2022,25091882375.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
ARMY,Armidian Karyatama Tbk.,Properties & Real Estate,2017,9006250000.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
CBRE,Cakra Buana Resources Energi T,Energy,2023,4538041373.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
SIMA,Siwani Makmur Tbk,Basic Materials,1994,442589871.0,Pemantauan Khusus,0,0,0,1,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
POLA,Pool Advista Finance Tbk.,Financials,2018,3351075600.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
TRUE,Triniti Dinamik Tbk.,Properties & Real Estate,2021,7571035172.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
CITA,Cita Mineral Investindo Tbk.,Basic Materials,2002,3960361250.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
LION,Lion Metal Works Tbk.,Industrials,1993,520160000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
IIKP,Inti Agri Resources Tbk,Consumer Cyclicals,2002,33600000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
BKSW,Bank QNB Indonesia Tbk.,Financials,2002,34953681505.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
PSAB,J Resources Asia Pasifik Tbk.,Basic Materials,2003,26460000000.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
ESTI,Ever Shine Tex Tbk.,Consumer Cyclicals,1992,2015208720.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
EPAC,Megalestari Epack Sentosaraya ,Basic Materials,2020,3303400000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
SMRU,SMR Utama Tbk.,Energy,2011,12499385782.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
KREN,Quantum Clovera Investama Tbk.,Technology,2002,18208470100.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
BOSS,Borneo Olah Sarana Sukses Tbk.,Energy,2018,1400000000.0,Pemantauan Khusus,0,1,0,1,0,0,0,1,0,0,1,4,Ya,Ya,Tidak,Tidak,Tidak,Ya
PGUN,Pradiksi Gunatama Tbk.,Consumer Non-Cyclicals,2020,5737848882.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
KPAS,Cottonindo Ariesta Tbk.,Consumer Non-Cyclicals,2018,768043253.0,Pemantauan Khusus,0,1,0,0,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
TIRA,Tira Austenite Tbk,Industrials,1993,588000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
MTFN,Capitalinc Investment Tbk.,Energy,1990,31842082852.0,Pemantauan Khusus,0,0,0,1,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
ZINC,Kapuas Prima Coal Tbk.,Basic Materials,2017,25250000000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
CPRI,Capri Nusa Satu Properti Tbk.,Properties & Real Estate,2019,2433379958.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
MDRN,Modern Internasional Tbk.,Industrials,1991,7632167798.0,Pemantauan Khusus,0,0,0,1,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
SUGI,Sugih Energy Tbk.,Energy,2002,24811541414.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
TIRT,Tirta Mahakam Resources Tbk,Basic Materials,1999,1011774750.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
KARW,ICTSI Jasa Prima Tbk.,Infrastructures,1994,587152700.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
PBRX,Pan Brothers Tbk.,Consumer Cyclicals,1990,21482028246.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,1,0,1,2,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
ROCK,Rockfields Properti Indonesia ,Properties & Real Estate,2020,1435185100.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
ASRM,Asuransi Ramayana Tbk.,Financials,1990,304283840.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
KIAS,Keramika Indonesia Assosiasi T,Industrials,1994,14929100000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
BTEL,Bakrie Telecom Tbk.,Infrastructures,2006,36822665755.0,Pemantauan Khusus,0,0,0,1,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya
PUDP,Pudjiadi Prestige Tbk.,Properties & Real Estate,1994,329560000.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
BLTA,Berlian Laju Tanker Tbk,Transportation & Logistic,1990,25940187103.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
DUCK,Jaya Bersama Indo Tbk.,Consumer Cyclicals,2018,1283330000.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
BPII,Batavia Prosperindo Internasio,Financials,2014,515498662.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
BCIC,Bank JTrust Indonesia Tbk.,Financials,1997,17926071041.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
COWL,Cowell Development Tbk.,Properties & Real Estate,2007,4871214021.0,Pemantauan Khusus,0,1,1,1,0,0,0,1,0,0,1,5,Ya,Ya,Tidak,Tidak,Tidak,Ya
IBFN,Intan Baru Prana Tbk.,Industrials,2014,1517332349.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
POSA,Bliss Properti Indonesia Tbk.,Properties & Real Estate,2019,8388870206.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
SRIL,Sri Rejeki Isman Tbk.,Consumer Cyclicals,2013,20452176844.0,Pemantauan Khusus,0,0,0,1,0,0,0,1,1,0,1,4,Ya,Ya,Tidak,Tidak,Tidak,Ya
HKMU,HK Metals Utama Tbk.,Basic Materials,2018,3221750000.0,Pemantauan Khusus,0,1,1,1,0,0,0,1,0,0,1,5,Ya,Ya,Tidak,Tidak,Tidak,Ya
AGRS,Bank IBK Indonesia Tbk.,Financials,2014,37365877065.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
SQMI,Wilton Makmur Indonesia Tbk.,Basic Materials,2004,15537591429.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
ZONE,Mega Perintis Tbk.,Consumer Cyclicals,2018,870171478.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
RBMS,Ristia Bintang Mahkotasejati T,Properties & Real Estate,1997,2656212826.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
LMPI,Langgeng Makmur Industri Tbk.,Consumer Cyclicals,1994,1008517669.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
HOPE,Harapan Duta Pertiwi Tbk.,Industrials,2021,2130360201.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,0,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya
FAST,Fast Food Indonesia Tbk.,Consumer Cyclicals,1993,3990277158.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
SWAT,Sriwahana Adityakarta Tbk.,Basic Materials,2018,3019200000.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
PSKT,Red Planet Indonesia Tbk.,Consumer Cyclicals,1995,10351231636.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
